EmployeeNumber,Surname,GivenName,FullName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,Agegroup,LengthService,lengthofservicecategory,AbsentHours,AbsentCategory,AbsentDays,BusinessUnit
12,Barajas,John,Barajas John,Male,Kamloops,Baker,Bakery,Kamloops,Stores,15,Young Adult,4,Level 1,0,Not Absent,0,Stores
13,Leonard,James,Leonard James,Male,North Vancouver,Baker,Bakery,North Vancouver,Stores,38,Adult,4,Level 1,0,Not Absent,0,Stores
14,Davis,Janet,Davis Janet,Female,Vananda,Baker,Bakery,Nanaimo,Stores,31,Adult,5,Level 1,34,Absent Category 1,1,Stores
15,Bell,Thomas,Bell Thomas,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,Elderly,5,Level 1,0,Not Absent,0,HeadOffice
16,Combs,Danny,Combs Danny,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,Middle Aged,19,Level 4,22,Absent Category 1,1,HeadOffice
17,Vivanco,Anne,Vivanco Anne,Female,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49,Middle Aged,10,Level 2,0,Not Absent,0,HeadOffice
18,Craig,Bobbie,Craig Bobbie,Female,West Vancouver,Baker,Bakery,West Vancouver,Stores,42,Middle Aged,3,Level 1,55,Absent Category 2,2,Stores
19,Jones,Ilona,Jones Ilona,Female,New Westminster,Baker,Bakery,New Westminster,Stores,51,Elderly,5,Level 1,82,Absent Category 3,3,Stores
20,Watkins,Jan,Watkins Jan,Female,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,37,Adult,11,Level 3,95,Absent Category 3,4,HeadOffice
21,Callaway,Jesus,Callaway Jesus,Male,Burnaby,Baker,Bakery,Burnaby,Stores,58,Elderly,3,Level 1,108,Absent Category 3,5,Stores
22,Hammett,Josephine,Hammett Josephine,Female,New Westminster,Baker,Bakery,New Westminster,Stores,24,Young Adult,3,Level 1,0,Not Absent,0,Stores
23,Jarman,Sandra,Jarman Sandra,Female,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,Elderly,7,Level 2,68,Absent Category 2,3,HeadOffice
24,Butler,Jennifer,Butler Jennifer,Female,Victoria,Baker,Bakery,Victoria,Stores,61,Aged,4,Level 1,159,Absent Category 5,7,Stores
25,Simons,Larry,Simons Larry,Male,Nanaimo,Baker,Bakery,Nanaimo,Stores,36,Adult,5,Level 1,0,Not Absent,0,Stores
26,Mason,Penny,Mason Penny,Female,Aldergrove,Baker,Bakery,Aldergrove,Stores,36,Adult,3,Level 1,48,Absent Category 2,2,Stores
27,Burton,Theodore,Burton Theodore,Male,Kelowna,Baker,Bakery,Kelowna,Stores,42,Middle Aged,5,Level 1,43,Absent Category 2,2,Stores
28,Hunt,Joseph,Hunt Joseph,Male,Trail,Baker,Bakery,Trail,Stores,35,Adult,5,Level 1,35,Absent Category 1,1,Stores
29,Loiselle,Thomas,Loiselle Thomas,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,Middle Aged,12,Level 3,60,Absent Category 2,3,HeadOffice
30,Nguyen,William,Nguyen William,Male,Aldergrove,Baker,Bakery,Aldergrove,Stores,50,Elderly,4,Level 1,101,Absent Category 3,4,Stores
31,Schrupp,James,Schrupp James,Male,Penticton,Baker,Bakery,Kelowna,Stores,38,Adult,3,Level 1,10,Absent Category 1,0,Stores
32,Donaldson,Adriana,Donaldson Adriana,Female,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,Middle Aged,19,Level 4,39,Absent Category 1,2,HeadOffice
33,Thompson,Felipe,Thompson Felipe,Male,Duncan,Baker,Bakery,Quesnel,Stores,50,Elderly,6,Level 2,130,Absent Category 4,5,Stores
34,Livingston,Lester,Livingston Lester,Male,Kelowna,Baker,Bakery,Kelowna,Stores,77,Aged,3,Level 1,44,Absent Category 2,2,Stores
35,Ashley,Emma,Ashley Emma,Female,Crawford Bay,Baker,Bakery,Cranbrook,Stores,24,Young Adult,3,Level 1,0,Not Absent,0,Stores
36,Davis,Jeffery,Davis Jeffery,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36,Adult,18,Level 4,0,Not Absent,0,HeadOffice
37,Farris,Augustina,Farris Augustina,Female,Courtenay,Baker,Bakery,Nanaimo,Stores,52,Elderly,5,Level 1,75,Absent Category 2,3,Stores
38,Colman,Katherine,Colman Katherine,Female,Port Hardy,Baker,Bakery,Nanaimo,Stores,40,Middle Aged,6,Level 2,59,Absent Category 2,2,Stores
39,Martin,Daniel,Martin Daniel,Male,Kelowna,Baker,Bakery,Kelowna,Stores,52,Elderly,4,Level 1,135,Absent Category 4,6,Stores
40,Atencio,Morris,Atencio Morris,Male,Logan Lake,Baker,Bakery,Kamloops,Stores,20,Young Adult,4,Level 1,0,Not Absent,0,Stores
41,Harrod,Gloria,Harrod Gloria,Female,Abbotsford,Baker,Bakery,Abbotsford,Stores,45,Middle Aged,5,Level 1,78,Absent Category 2,3,Stores
42,Bell,Angelo,Bell Angelo,Male,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67,Aged,2,Level 1,169,Absent Category 5,7,Stores
43,Kelley,Virginia,Kelley Virginia,Female,Burnaby,Baker,Bakery,Burnaby,Stores,41,Middle Aged,2,Level 1,56,Absent Category 2,2,Stores
44,Turner,Stephen,Turner Stephen,Male,Surrey,Baker,Bakery,Surrey,Stores,62,Aged,5,Level 1,153,Absent Category 4,6,Stores
45,Mortimer,Cecilia,Mortimer Cecilia,Female,Victoria,Baker,Bakery,Victoria,Stores,28,Young Adult,6,Level 2,0,Not Absent,0,Stores
46,Stutts,Belle,Stutts Belle,Female,Surrey,Baker,Bakery,Surrey,Stores,50,Elderly,5,Level 1,80,Absent Category 3,3,Stores
47,Bryant,John,Bryant John,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,Elderly,1,Level 1,79,Absent Category 2,3,HeadOffice
48,Nolan,John,Nolan John,Male,Squamish,Baker,Bakery,Squamish,Stores,34,Adult,6,Level 2,0,Not Absent,0,Stores
49,Allison,Connie,Allison Connie,Female,Good Hope Lake,Baker,Bakery,Terrace,Stores,52,Elderly,4,Level 1,89,Absent Category 3,4,Stores
50,McAllister,Greg,McAllister Greg,Male,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39,Adult,21,Level 5,21,Absent Category 1,1,HeadOffice
51,Murry,Adam,Murry Adam,Male,Burnaby,Baker,Bakery,Burnaby,Stores,30,Adult,8,Level 2,4,Absent Category 1,0,Stores
52,Price,David,Price David,Male,Penticton,Baker,Bakery,Kelowna,Stores,44,Middle Aged,0,Level 1,38,Absent Category 1,2,Stores
53,McCoy,Corey,McCoy Corey,Male,New Westminster,Baker,Bakery,New Westminster,Stores,50,Elderly,6,Level 2,116,Absent Category 3,5,Stores
54,Baker,Linda,Baker Linda,Female,Nanaimo,Baker,Bakery,Nanaimo,Stores,35,Adult,5,Level 1,0,Not Absent,0,Stores
55,Shultz,Charles,Shultz Charles,Male,Abbotsford,Baker,Bakery,Abbotsford,Stores,29,Young Adult,3,Level 1,0,Not Absent,0,Stores
56,Medina,Bonita,Medina Bonita,Female,Sidney,Baker,Bakery,Victoria,Stores,50,Elderly,4,Level 1,77,Absent Category 2,3,Stores
57,Houston,Harold,Houston Harold,Male,Coquitlam,Baker,Bakery,Nanaimo,Stores,25,Young Adult,5,Level 1,0,Not Absent,0,Stores
58,Mejia,James,Mejia James,Male,Chilliwack,Baker,Bakery,Chilliwack,Stores,43,Middle Aged,4,Level 1,25,Absent Category 1,1,Stores
59,Bates,Charles,Bates Charles,Male,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54,Elderly,4,Level 1,121,Absent Category 4,5,Stores
60,Ross,Robert,Ross Robert,Male,New Westminster,Baker,Bakery,New Westminster,Stores,44,Middle Aged,4,Level 1,60,Absent Category 2,3,Stores
61,Heller,Joseph,Heller Joseph,Male,Ganges,Baker,Bakery,Victoria,Stores,43,Middle Aged,5,Level 1,56,Absent Category 2,2,Stores
62,Murray,Faye,Murray Faye,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,56,Elderly,11,Level 3,0,Not Absent,0,HeadOffice
63,Allen,Michelle,Allen Michelle,Female,Prince George,Baker,Bakery,Prince George,Stores,31,Adult,1,Level 1,0,Not Absent,0,Stores
64,Jones,Harvey,Jones Harvey,Male,Atlin,Baker,Bakery,Terrace,Stores,43,Middle Aged,6,Level 2,55,Absent Category 2,2,Stores
65,Nystrom,Jane,Nystrom Jane,Female,Kamloops,Baker,Bakery,Kamloops,Stores,36,Adult,4,Level 1,45,Absent Category 2,2,Stores
66,Albright,Paul,Albright Paul,Male,Whistler,Baker,Bakery,Squamish,Stores,39,Adult,6,Level 2,42,Absent Category 2,2,Stores
67,Lovely,Janet,Lovely Janet,Female,Surrey,Baker,Bakery,Surrey,Stores,23,Young Adult,6,Level 2,0,Not Absent,0,Stores
68,Strayhorn,Billie,Strayhorn Billie,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,Middle Aged,12,Level 3,0,Not Absent,0,HeadOffice
69,Jones,Tammy,Jones Tammy,Female,Spences Bridge,Baker,Bakery,Kamloops,Stores,47,Middle Aged,2,Level 1,108,Absent Category 3,5,Stores
70,Gay,Donald,Gay Donald,Male,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,Middle Aged,12,Level 3,79,Absent Category 2,3,HeadOffice
71,Green,Earnest,Green Earnest,Male,New Westminister,Baker,Bakery,New Westminister,Stores,53,Elderly,5,Level 1,110,Absent Category 3,5,Stores
72,Riley,Wendy,Riley Wendy,Female,Gibsons,Baker,Bakery,West Vancouver,Stores,36,Adult,4,Level 1,34,Absent Category 1,1,Stores
73,Malizia,Randall,Malizia Randall,Male,Vernon,Baker,Bakery,Vernon,Stores,42,Middle Aged,3,Level 1,29,Absent Category 1,1,Stores
74,Lopez,Florence,Lopez Florence,Female,Burnaby,Baker,Bakery,Burnaby,Stores,41,Middle Aged,3,Level 1,45,Absent Category 2,2,Stores
75,Howell,Carol,Howell Carol,Female,Fauquier,Baker,Bakery,Trail,Stores,47,Middle Aged,2,Level 1,127,Absent Category 4,5,Stores
76,Chico,Joyce,Chico Joyce,Female,Victoria,Baker,Bakery,Victoria,Stores,45,Middle Aged,6,Level 2,20,Absent Category 1,1,Stores
77,White,Anthony,White Anthony,Male,Kamloops,Baker,Bakery,Kamloops,Stores,38,Adult,6,Level 2,0,Not Absent,0,Stores
78,Smith,Danny,Smith Danny,Male,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,Adult,8,Level 2,45,Absent Category 2,2,HeadOffice
79,Porter,Ana,Porter Ana,Female,Mackenzie,Baker,Bakery,Prince George,Stores,42,Middle Aged,5,Level 1,46,Absent Category 2,2,Stores
80,Depaz,Shari,Depaz Shari,Female,New Westminster,Baker,Bakery,New Westminster,Stores,44,Middle Aged,2,Level 1,83,Absent Category 3,3,Stores
81,Witkowski,Alice,Witkowski Alice,Female,Squamish,Baker,Bakery,Squamish,Stores,54,Elderly,3,Level 1,136,Absent Category 4,6,Stores
82,Alvarez,Kenneth,Alvarez Kenneth,Male,Nanaimo,Baker,Bakery,Nanaimo,Stores,46,Middle Aged,4,Level 1,53,Absent Category 2,2,Stores
83,Morales,Soledad,Morales Soledad,Female,Gold Bridge,Baker,Bakery,Kamloops,Stores,48,Middle Aged,4,Level 1,97,Absent Category 3,4,Stores
84,Burden,Alexis,Burden Alexis,Female,Penticton,Baker,Bakery,Kelowna,Stores,52,Elderly,3,Level 1,141,Absent Category 4,6,Stores
85,Dyal,William,Dyal William,Male,Victoria,Baker,Bakery,Victoria,Stores,33,Adult,2,Level 1,32,Absent Category 1,1,Stores
86,Hayden,Kenneth,Hayden Kenneth,Male,New Westminster,Baker,Bakery,New Westminster,Stores,48,Middle Aged,4,Level 1,13,Absent Category 1,1,Stores
87,Caban,Joshua,Caban Joshua,Male,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,Adult,14,Level 3,54,Absent Category 2,2,HeadOffice
88,Knight,Mildred,Knight Mildred,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37,Adult,19,Level 4,0,Not Absent,0,HeadOffice
89,Thurmond,Linda,Thurmond Linda,Female,Duncan,Baker,Bakery,Quesnel,Stores,45,Middle Aged,7,Level 2,103,Absent Category 3,4,Stores
90,Monroe,Terra,Monroe Terra,Female,Kelowna,Baker,Bakery,Kelowna,Stores,27,Young Adult,4,Level 1,0,Not Absent,0,Stores
91,Velez,Colleen,Velez Colleen,Female,Good Hope Lake,Baker,Bakery,Terrace,Stores,38,Adult,4,Level 1,50,Absent Category 2,2,Stores
92,Martin,Lisa,Martin Lisa,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,Middle Aged,1,Level 1,58,Absent Category 2,2,HeadOffice
93,Godfrey,Ramon,Godfrey Ramon,Male,Victoria,Baker,Bakery,Victoria,Stores,49,Middle Aged,6,Level 2,111,Absent Category 3,5,Stores
94,Jackson,Monica,Jackson Monica,Female,Fort Fraser,Baker,Bakery,Prince George,Stores,52,Elderly,5,Level 1,159,Absent Category 5,7,Stores
95,Craig,Cristina,Craig Cristina,Female,Victoria,Baker,Bakery,Victoria,Stores,38,Adult,5,Level 1,73,Absent Category 2,3,Stores
96,Schooley,Daniel,Schooley Daniel,Male,Nelson,Baker,Bakery,Nelson,Stores,29,Young Adult,5,Level 1,2,Absent Category 1,0,Stores
97,Wireman,Jacquie,Wireman Jacquie,Female,New Westminster,Baker,Bakery,New Westminster,Stores,51,Elderly,5,Level 1,100,Absent Category 3,4,Stores
98,Tripp,Simone,Tripp Simone,Female,Kamloops,Baker,Bakery,Kamloops,Stores,39,Adult,2,Level 1,35,Absent Category 1,1,Stores
99,Cousins,Jessica,Cousins Jessica,Female,Kaslo,Baker,Bakery,Cranbrook,Stores,27,Young Adult,5,Level 1,0,Not Absent,0,Stores
100,Drake,Mildred,Drake Mildred,Female,Burnaby,Baker,Bakery,Burnaby,Stores,47,Middle Aged,7,Level 2,82,Absent Category 3,3,Stores
101,Gilreath,Mary,Gilreath Mary,Female,Victoria,Baker,Bakery,Victoria,Stores,39,Adult,5,Level 1,52,Absent Category 2,2,Stores
102,Lundin,Edwina,Lundin Edwina,Female,New Westminster,Baker,Bakery,New Westminster,Stores,49,Middle Aged,3,Level 1,121,Absent Category 4,5,Stores
103,Gleason,Esther,Gleason Esther,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,Middle Aged,17,Level 4,48,Absent Category 2,2,HeadOffice
104,Sharma,Donald,Sharma Donald,Male,Nanaimo,Baker,Bakery,Nanaimo,Stores,56,Elderly,2,Level 1,137,Absent Category 4,6,Stores
105,Hash,Yvonne,Hash Yvonne,Female,Victoria,Baker,Bakery,Victoria,Stores,44,Middle Aged,4,Level 1,99,Absent Category 3,4,Stores
106,Harris,Arnold,Harris Arnold,Male,Creston,Baker,Bakery,Cranbrook,Stores,30,Adult,3,Level 1,0,Not Absent,0,Stores
107,Massey,Christie,Massey Christie,Female,Wynndel,Baker,Bakery,Cranbrook,Stores,46,Middle Aged,5,Level 1,44,Absent Category 2,2,Stores
108,Webber,Hobert,Webber Hobert,Male,Muncho Lake,Baker,Bakery,Fort St John,Stores,28,Young Adult,5,Level 1,0,Not Absent,0,Stores
109,Edmondson,Cynthia,Edmondson Cynthia,Female,Burnaby,Baker,Bakery,Burnaby,Stores,37,Adult,5,Level 1,39,Absent Category 1,2,Stores
110,Paschall,Marjorie,Paschall Marjorie,Female,Muncho Lake,Baker,Bakery,Fort St John,Stores,50,Elderly,6,Level 2,139,Absent Category 4,6,Stores
111,Johnson,Dexter,Johnson Dexter,Male,New Westminster,Baker,Bakery,New Westminster,Stores,47,Middle Aged,5,Level 1,63,Absent Category 2,3,Stores
112,Fox,Keith,Fox Keith,Male,Creston,Baker,Bakery,Cranbrook,Stores,50,Elderly,5,Level 1,98,Absent Category 3,4,Stores
113,Kamen,Alan,Kamen Alan,Male,Kitimat,Baker,Bakery,Terrace,Stores,39,Adult,2,Level 1,56,Absent Category 2,2,Stores
114,Ogden,Nancy,Ogden Nancy,Female,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37,Adult,5,Level 1,25,Absent Category 1,1,Stores
115,Ervin,Patricia,Ervin Patricia,Female,Armstrong,Baker,Bakery,Vernon,Stores,48,Middle Aged,4,Level 1,97,Absent Category 3,4,Stores
116,Clark,Pauline,Clark Pauline,Female,Victoria,Baker,Bakery,Victoria,Stores,50,Elderly,3,Level 1,118,Absent Category 3,5,Stores
117,Andrews,Debra,Andrews Debra,Female,New Westminster,Baker,Bakery,New Westminster,Stores,40,Middle Aged,6,Level 2,34,Absent Category 1,1,Stores
118,Calderon,Sybil,Calderon Sybil,Female,Aldergrove,Baker,Bakery,Aldergrove,Stores,37,Adult,6,Level 2,73,Absent Category 2,3,Stores
119,Torres,Lee,Torres Lee,Male,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33,Adult,4,Level 1,0,Not Absent,0,HeadOffice
120,Ward,James,Ward James,Male,Abbotsford,Baker,Bakery,Abbotsford,Stores,33,Adult,7,Level 2,0,Not Absent,0,Stores
121,Browning,Christiane,Browning Christiane,Female,Duncan,Baker,Bakery,Quesnel,Stores,59,Elderly,7,Level 2,153,Absent Category 4,6,Stores
122,Wurth,William,Wurth William,Male,Duncan,Baker,Bakery,Quesnel,Stores,24,Young Adult,5,Level 1,0,Not Absent,0,Stores
123,Prescott,Wesley,Prescott Wesley,Male,Quesnel,Baker,Bakery,Quesnel,Stores,43,Middle Aged,8,Level 2,54,Absent Category 2,2,Stores
124,Dunham,Ligia,Dunham Ligia,Female,Hixon,Baker,Bakery,Prince George,Stores,53,Elderly,5,Level 1,114,Absent Category 3,5,Stores
125,Garrett,Steve,Garrett Steve,Male,Fauquier,Baker,Bakery,Trail,Stores,46,Middle Aged,3,Level 1,79,Absent Category 2,3,Stores
126,Alexander,Tyrone,Alexander Tyrone,Male,Surrey,Baker,Bakery,Surrey,Stores,36,Adult,6,Level 2,30,Absent Category 1,1,Stores
127,Cheek,Mary,Cheek Mary,Female,Wynndel,Baker,Bakery,Cranbrook,Stores,38,Adult,2,Level 1,68,Absent Category 2,3,Stores
128,Ackerman,Carrie,Ackerman Carrie,Female,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43,Middle Aged,21,Level 5,31,Absent Category 1,1,HeadOffice
129,Johnson,Patricia,Johnson Patricia,Female,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24,Young Adult,4,Level 1,0,Not Absent,0,Stores
130,Haley,Carey,Haley Carey,Male,West Vancouver,Baker,Bakery,West Vancouver,Stores,46,Middle Aged,7,Level 2,40,Absent Category 2,2,Stores
131,Hall,Maria,Hall Maria,Female,Vallican,Baker,Bakery,Trail,Stores,33,Adult,3,Level 1,50,Absent Category 2,2,Stores
132,Bunch,Terra,Bunch Terra,Female,North Pender Island,Baker,Bakery,Victoria,Stores,39,Adult,4,Level 1,94,Absent Category 3,4,Stores
133,Martin,Terry,Martin Terry,Male,Victoria,Baker,Bakery,Victoria,Stores,36,Adult,2,Level 1,58,Absent Category 2,2,Stores
134,Bass,Brian,Bass Brian,Male,Montney,Baker,Bakery,Fort St John,Stores,50,Elderly,4,Level 1,62,Absent Category 2,3,Stores
135,Wagner,Robert,Wagner Robert,Male,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55,Elderly,17,Level 4,30,Absent Category 1,1,HeadOffice
136,McBride,Joanne,McBride Joanne,Female,Ganges,Baker,Bakery,Victoria,Stores,44,Middle Aged,4,Level 1,91,Absent Category 3,4,Stores
137,Johnson,Paul,Johnson Paul,Male,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,Adult,18,Level 4,37,Absent Category 1,2,HeadOffice
138,Cook,Anthony,Cook Anthony,Male,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,56,Elderly,11,Level 3,0,Not Absent,0,HeadOffice
139,Loch,Dean,Loch Dean,Male,North Vancouver,Baker,Bakery,North Vancouver,Stores,43,Middle Aged,5,Level 1,63,Absent Category 2,3,Stores
140,Defoor,James,Defoor James,Male,Prince George,Baker,Bakery,Prince George,Stores,57,Elderly,5,Level 1,102,Absent Category 3,4,Stores
141,Wadlington,Arthur,Wadlington Arthur,Male,Burns Lake,Baker,Bakery,Prince George,Stores,43,Middle Aged,2,Level 1,45,Absent Category 2,2,Stores
142,Harte,Vanessa,Harte Vanessa,Female,Midway,Baker,Bakery,Trail,Stores,50,Elderly,3,Level 1,124,Absent Category 4,5,Stores
143,Galindo,Zachary,Galindo Zachary,Male,Victoria,Baker,Bakery,Victoria,Stores,49,Middle Aged,5,Level 1,57,Absent Category 2,2,Stores
144,Reardon,Kenneth,Reardon Kenneth,Male,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,Middle Aged,17,Level 4,0,Not Absent,0,HeadOffice
145,Flores,Doris,Flores Doris,Female,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,Middle Aged,12,Level 3,112,Absent Category 3,5,HeadOffice
146,Busch,Alice,Busch Alice,Female,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,Adult,14,Level 3,0,Not Absent,0,HeadOffice
147,Phillips,Alfredo,Phillips Alfredo,Male,Westwold,Baker,Bakery,Vernon,Stores,61,Aged,3,Level 1,96,Absent Category 3,4,Stores
148,Lopez,Christopher,Lopez Christopher,Male,Victoria,Baker,Bakery,Victoria,Stores,48,Middle Aged,3,Level 1,58,Absent Category 2,2,Stores
149,Fernandez,Emma,Fernandez Emma,Female,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,Adult,6,Level 2,40,Absent Category 2,2,HeadOffice
150,Westling,Sharonda,Westling Sharonda,Female,Vananda,Baker,Bakery,Nanaimo,Stores,38,Adult,7,Level 2,92,Absent Category 3,4,Stores
151,Pelletier,Ronald,Pelletier Ronald,Male,Terrace,Baker,Bakery,Terrace,Stores,58,Elderly,6,Level 2,116,Absent Category 3,5,Stores
152,Chacon,William,Chacon William,Male,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37,Adult,3,Level 1,25,Absent Category 1,1,HeadOffice
153,Petty,Leland,Petty Leland,Male,New Westminster,Baker,Bakery,New Westminster,Stores,38,Adult,3,Level 1,17,Absent Category 1,1,Stores
154,Whitmire,Ernestine,Whitmire Ernestine,Female,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,Middle Aged,6,Level 2,90,Absent Category 3,4,HeadOffice
155,Rivers,Matthew,Rivers Matthew,Male,Victoria,Baker,Bakery,Victoria,Stores,49,Middle Aged,6,Level 2,47,Absent Category 2,2,Stores
156,Meyers,Kim,Meyers Kim,Female,Golden,Baker,Bakery,Cranbrook,Stores,56,Elderly,5,Level 1,157,Absent Category 4,7,Stores
157,Hebert,Sheree,Hebert Sheree,Female,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27,Young Adult,6,Level 2,14,Absent Category 1,1,Stores
158,Jacques,Pearl,Jacques Pearl,Female,Vernon,Baker,Bakery,Vernon,Stores,52,Elderly,3,Level 1,113,Absent Category 3,5,Stores
159,Valdez,Gabriela,Valdez Gabriela,Female,Hixon,Baker,Bakery,Prince George,Stores,61,Aged,3,Level 1,160,Absent Category 5,7,Stores
160,Vidrine,Harold,Vidrine Harold,Male,Sechelt,Baker,Bakery,West Vancouver,Stores,66,Aged,4,Level 1,224,Absent Category 6,9,Stores
161,Carbone,Edith,Carbone Edith,Female,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,Middle Aged,24,Level 5,0,Not Absent,0,HeadOffice
162,Hernandez,Leonard,Hernandez Leonard,Male,New Westminster,Baker,Bakery,New Westminster,Stores,40,Middle Aged,4,Level 1,79,Absent Category 2,3,Stores
163,Campbell,Frank,Campbell Frank,Male,White Rock,Baker,Bakery,White Rock,Stores,57,Elderly,6,Level 2,154,Absent Category 4,6,Stores
164,Raley,Charlie,Raley Charlie,Male,Aldergrove,Baker,Bakery,Aldergrove,Stores,31,Adult,4,Level 1,0,Not Absent,0,Stores
165,Rayfield,Robert,Rayfield Robert,Male,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,Adult,18,Level 4,0,Not Absent,0,HeadOffice
166,Shea,Melinda,Shea Melinda,Female,Richmond,Baker,Bakery,Richmond,Stores,52,Elderly,7,Level 2,88,Absent Category 3,4,Stores
167,Coleman,David,Coleman David,Male,Muncho Lake,Baker,Bakery,Fort St John,Stores,31,Adult,5,Level 1,0,Not Absent,0,Stores
168,Haynes,Patrick,Haynes Patrick,Male,Whistler,Baker,Bakery,Squamish,Stores,55,Elderly,6,Level 2,95,Absent Category 3,4,Stores
169,Bonilla,Frederick,Bonilla Frederick,Male,Surrey,Baker,Bakery,Surrey,Stores,50,Elderly,3,Level 1,120,Absent Category 4,5,Stores
